Course ID,Term Code,Term Descr,Session,Subject,Catalog Nbr,Section,Component Code,Class Nbr,Course Title,Location Code,Instruction Mode code,Meeting Pattern Nbr,Room Code,Building Code,Room,Class Start Time,Class End Time,Mon,Tues,Wed,Thurs,Fri,Sat,Sun,DD,MM,MM,MM,YYYY,Start Date (DD/MM/YYYY),DD,,MM,YYYY,End Date (DD/MM/YYYY),End Date (DD/MM/YYYY),End Date (DD/MM/YYYY),End Date (DD/MM/YYYY)
3323,2184,Winter 2019,13W,BLDG,366,VJ-X,LAB,1289,ACOUSTICS AND LIGHTING,SGW,P,4,H927,H,927,14.45.00,16.35.00,Y,N,N,N,N,N,N,3,3,,3,2019,3/3/2019,9,3,3,2019,9/3/2019,,9/3/2019,9/3/2019
3323,2184,Winter 2019,13W,BLDG,366,VJ-X,LAB,1289,ACOUSTICS AND LIGHTING,SGW,P,5,H927,H,927,14.45.00,16.35.00,Y,N,N,N,N,N,N,17,3,3,03,2019,17/03/2019,23,3,03,2019,23/03/2019,,23/03/2019,23/03/2019
3323,2184,Winter 2019,13W,BLDG,366,VJ-X,LAB,1289,ACOUSTICS AND LIGHTING,SGW,P,6,H927,H,927,14.45.00,16.35.00,Y,N,N,N,N,N,N,31,3,3,03,2019,31/03/2019,6,4,4,2019,6/4/2019,,6/4/2019,6/4/2019
3323,2184,Winter 2019,13W,BLDG,366,VK-X,LAB,1288,ACOUSTICS AND LIGHTING,SGW,P,1,H927,H,927,10.45.00,12.35.00,N,N,N,Y,N,N,N,7,1,,1,2019,7/1/2019,12,1,1,2019,12/1/2019,,12/1/2019,12/1/2019
3323,2184,Winter 2019,13W,BLDG,366,VK-X,LAB,1288,ACOUSTICS AND LIGHTING,SGW,P,2,H927,H,927,10.45.00,12.35.00,N,N,N,Y,N,N,N,20,1,,1,2019,20/01/2019,26,1,1,2019,26/01/2019,,26/01/2019,26/01/2019
3323,2184,Winter 2019,13W,BLDG,366,VK-X,LAB,1288,ACOUSTICS AND LIGHTING,SGW,P,3,H927,H,927,10.45.00,12.35.00,N,N,N,Y,N,N,N,3,2,,2,2019,3/2/2019,9,2,2,2019,9/2/2019,,9/2/2019,9/2/2019
3323,2184,Winter 2019,13W,BLDG,366,VK-X,LAB,1288,ACOUSTICS AND LIGHTING,SGW,P,4,H927,H,927,10.45.00,12.35.00,N,N,N,Y,N,N,N,17,2,2,02,2019,17/02/2019,23,2,02,2019,23/02/2019,,23/02/2019,23/02/2019
3323,2184,Winter 2019,13W,BLDG,366,VK-X,LAB,1288,ACOUSTICS AND LIGHTING,SGW,P,5,H927,H,927,10.45.00,12.35.00,N,N,N,Y,N,N,N,10,3,,3,2019,10/3/2019,16,3,03,2019,16/03/2019,,16/03/2019,16/03/2019
3323,2184,Winter 2019,13W,BLDG,366,VK-X,LAB,1288,ACOUSTICS AND LIGHTING,SGW,P,6,H927,H,927,10.45.00,12.35.00,N,N,N,Y,N,N,N,24,3,3,03,2019,24/03/2019,30,3,03,2019,30/03/2019,,30/03/2019,30/03/2019
3323,2184,Winter 2019,13W,BLDG,366,VK-X,LAB,1288,ACOUSTICS AND LIGHTING,SGW,P,7,H927,H,927,10.45.00,12.35.00,N,N,N,Y,N,N,N,7,4,,4,2019,7/4/2019,13,4,04,2019,13/04/2019,,13/04/2019,13/04/2019
3323,2184,Winter 2019,13W,BLDG,366,VL-X,LAB,1296,ACOUSTICS AND LIGHTING,SGW,P,1,H927,H,927,10.45.00,12.35.00,N,N,N,Y,N,N,N,13,1,,1,2019,13/01/2019,19,1,1,2019,19/01/2019,,19/01/2019,19/01/2019
3323,2184,Winter 2019,13W,BLDG,366,VL-X,LAB,1296,ACOUSTICS AND LIGHTING,SGW,P,2,H927,H,927,10.45.00,12.35.00,N,N,N,Y,N,N,N,27,1,,1,2019,27/01/2019,2,2,2,2019,2/2/2019,,2/2/2019,2/2/2019
3323,2184,Winter 2019,13W,BLDG,366,VL-X,LAB,1296,ACOUSTICS AND LIGHTING,SGW,P,3,H927,H,927,10.45.00,12.35.00,N,N,N,Y,N,N,N,10,2,,2,2019,10/2/2019,16,2,02,2019,16/02/2019,,16/02/2019,16/02/2019
3323,2184,Winter 2019,13W,BLDG,366,VL-X,LAB,1296,ACOUSTICS AND LIGHTING,SGW,P,4,H927,H,927,10.45.00,12.35.00,N,N,N,Y,N,N,N,3,3,,3,2019,3/3/2019,9,3,3,2019,9/3/2019,,9/3/2019,9/3/2019
3323,2184,Winter 2019,13W,BLDG,366,VL-X,LAB,1296,ACOUSTICS AND LIGHTING,SGW,P,5,H927,H,927,10.45.00,12.35.00,N,N,N,Y,N,N,N,17,3,3,03,2019,17/03/2019,23,3,03,2019,23/03/2019,,23/03/2019,23/03/2019
